"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-12","Dec-2012","PC","Percentage","0","Units",,,1.27466476316729,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-01","Jan-2013","PC","Percentage","0","Units",,,1.45658263305323,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-02","Feb-2013","PC","Percentage","0","Units",,,2.13394448688566,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-03","Mar-2013","PC","Percentage","0","Units",,,2.07849863787712,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-04","Apr-2013","PC","Percentage","0","Units",,,1.77267462355846,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-05","May-2013","PC","Percentage","0","Units",,,1.96919969704618,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-06","Jun-2013","PC","Percentage","0","Units",,,3.84595818283563,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-07","Jul-2013","PC","Percentage","0","Units",,,5.15862911850079,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-08","Aug-2013","PC","Percentage","0","Units",,,6.09273538961038,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-09","Sep-2013","PC","Percentage","0","Units",,,6.66432125446047,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-10","Oct-2013","PC","Percentage","0","Units",,,6.18427641462195,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-11","Nov-2013","PC","Percentage","0","Units",,,7.57766477015256,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2013-12","Dec-2013","PC","Percentage","0","Units",,,8.45290238131198,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-01","Jan-2014","PC","Percentage","0","Units",,,11.6911801616385,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-02","Feb-2014","PC","Percentage","0","Units",,,13.0148598783285,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-03","Mar-2014","PC","Percentage","0","Units",,,13.1610161114955,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-04","Apr-2014","PC","Percentage","0","Units",,,13.5088326983027,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-05","May-2014","PC","Percentage","0","Units",,,13.3547907897995,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-06","Jun-2014","PC","Percentage","0","Units",,,12.2911869886837,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-07","Jul-2014","PC","Percentage","0","Units",,,11.7481840193705,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-08","Aug-2014","PC","Percentage","0","Units",,,10.9931621479463,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-09","Sep-2014","PC","Percentage","0","Units",,,10.3566884983273,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-10","Oct-2014","PC","Percentage","0","Units",,,10.8417825984438,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2014-11","Nov-2014","PC","Percentage","0","Units",,,9.07984648506973,,
