"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-10","Oct-2008","IDX","Index","0","Units",,,87.38952,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-11","Nov-2008","IDX","Index","0","Units",,,84.4446,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2008-12","Dec-2008","IDX","Index","0","Units",,,83.40237,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-01","Jan-2009","IDX","Index","0","Units",,,83.54562,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-02","Feb-2009","IDX","Index","0","Units",,,84.74968,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-03","Mar-2009","IDX","Index","0","Units",,,87.27521,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-04","Apr-2009","IDX","Index","0","Units",,,91.19678,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-05","May-2009","IDX","Index","0","Units",,,94.44391,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-06","Jun-2009","IDX","Index","0","Units",,,95.75027,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-07","Jul-2009","IDX","Index","0","Units",,,96.0762,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-08","Aug-2009","IDX","Index","0","Units",,,95.66177,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-09","Sep-2009","IDX","Index","0","Units",,,95.21315,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-10","Oct-2009","IDX","Index","0","Units",,,95.412,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-11","Nov-2009","IDX","Index","0","Units",,,95.95773,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2009-12","Dec-2009","IDX","Index","0","Units",,,96.85262,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-01","Jan-2010","IDX","Index","0","Units",,,97.47698,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-02","Feb-2010","IDX","Index","0","Units",,,97.72951,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-03","Mar-2010","IDX","Index","0","Units",,,98.36559,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-04","Apr-2010","IDX","Index","0","Units",,,98.96325,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-05","May-2010","IDX","Index","0","Units",,,98.86378,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-06","Jun-2010","IDX","Index","0","Units",,,98.74456,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-07","Jul-2010","IDX","Index","0","Units",,,99.01029,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-08","Aug-2010","IDX","Index","0","Units",,,99.44447,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-09","Sep-2010","IDX","Index","0","Units",,,99.97587,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-10","Oct-2010","IDX","Index","0","Units",,,100.473,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-11","Nov-2010","IDX","Index","0","Units",,,101.0985,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2010-12","Dec-2010","IDX","Index","0","Units",,,101.4274,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-01","Jan-2011","IDX","Index","0","Units",,,101.0809,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-02","Feb-2011","IDX","Index","0","Units",,,100.423,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-03","Mar-2011","IDX","Index","0","Units",,,99.95734,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-04","Apr-2011","IDX","Index","0","Units",,,99.9351,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-05","May-2011","IDX","Index","0","Units",,,100.2211,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-06","Jun-2011","IDX","Index","0","Units",,,100.3927,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-07","Jul-2011","IDX","Index","0","Units",,,100.3948,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-08","Aug-2011","IDX","Index","0","Units",,,100.3661,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-09","Sep-2011","IDX","Index","0","Units",,,100.406,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-10","Oct-2011","IDX","Index","0","Units",,,100.0224,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-11","Nov-2011","IDX","Index","0","Units",,,99.66881,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2011-12","Dec-2011","IDX","Index","0","Units",,,99.30198,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-01","Jan-2012","IDX","Index","0","Units",,,99.10802,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-02","Feb-2012","IDX","Index","0","Units",,,99.33685,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-03","Mar-2012","IDX","Index","0","Units",,,99.45644,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-04","Apr-2012","IDX","Index","0","Units",,,99.28278,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-05","May-2012","IDX","Index","0","Units",,,98.88067,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-06","Jun-2012","IDX","Index","0","Units",,,98.35069,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-07","Jul-2012","IDX","Index","0","Units",,,98.46158,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-08","Aug-2012","IDX","Index","0","Units",,,98.35168,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-09","Sep-2012","IDX","Index","0","Units",,,98.20264,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2012-10","Oct-2012","IDX","Index","0","Units",,,98.40163,,
